Code,Title
auricular,Auricular
buccal,Buccal
conjunctival,Conjunctival
cutaneous,Cutaneous
dental,Dental
electroOsmosis,Electro-osmosis
endocervical,Endocervical
endosinusial,Endosinusial
endotracheal,Endotracheal
enteral,Enteral
epidural,Epidural
extraAmniotic,Extra-amniotic
extracorporeal,Extracorporeal
hemodialysis,Hemodialysis
infiltration,Infiltration
interstitial,Interstitial
intraAbdominal,Intra-abdominal
intra-amniotic,Intra-amniotic
intra-arterial,Intra-arterial
intra-articular,Intra-articular
intrabiliary,Intrabiliary
intrabronchial,Intrabronchial
intrabursal,Intrabursal
intracardiac,Intracardiac
intracartilaginous,Intracartilaginous
intracaudal,Intracaudal
intracavernous,Intracavernous
intracavitary,Intracavitary
intracerebral,Intracerebral
intracisternal,Intracisternal
intracorneal,Intracorneal
intracoronal,"Intracoronal, dental"
intracoronary,Intracoronary
intracorporusCavernosum,Intracorporus cavernosum
intradermal,Intradermal
intradiscal,Intradiscal
intraductal,Intraductal
intraduodenal,Intraduodenal
intradural,Intradural
intraepidermal,Intraepidermal
intraesophageal,Intraesophageal
intragastric,Intragastric
intragingival,Intragingival
intraileal,Intraileal
intralesional,Intralesional
intraluminal,Intraluminal
intralymphatic,Intralymphatic
intramedullary,Intramedullary
intrameningeal,Intrameningeal
intramuscular,Intramuscular
intraocular,Intraocular
intraovarian,Intraovarian
intrapericardial,Intrapericardial
intraperitoneal,Intraperitoneal
intrapleural,Intrapleural
intraprostatic,Intraprostatic
intrapulmonary,Intrapulmonary
intrasinal,Intrasinal
intraspinal,Intraspinal
intrasynovial,Intrasynovial
intratendinous,Intratendinous
intratesticular,Intratesticular
intrathecal,Intrathecal
intrathoracic,Intrathoracic
intratubular,Intratubular
intratumor,Intratumor
intratympanic,Intratympanic
intrauterine,Intrauterine
intravascular,Intravascular
intravenous,Intravenous
intraventricular,Intraventricular
intravesical,Intravesical
intravitreal,Intravitreal
iontophoresis,Iontophoresis
irrigation,Irrigation
laryngeal,Laryngeal
nasal,Nasal
nasogastric,Nasogastric
ophthalmic,Ophthalmic
oral,Oral
oropharyngeal,Oropharyngeal
parenteral,Parenteral
percutaneous,Percutaneous
periarticular,Periarticular
peridural,Peridural
perineural,Perineural
periodontal,Periodontal
rectal,Rectal
respiratory,Respiratory
retrobulbar,Retrobulbar
subarachnoid,Subarachnoid
subconjunctival,Subconjunctival
subcutaneous,Subcutaneous
sublingual,Sublingual
submucosal,Submucosal
topical,Topical
transdermal,Transdermal
transmucosal,Transmucosal
transplacental,Transplacental
transtracheal,Transtracheal
transtympanic,Transtympanic
ureteral,Ureteral
urethral,Urethral
vaginal,Vaginal
