Código,Título
aa,Afar
ab,Abjasio
ae,Avéstico
af,Africaans
ak,Akan
am,Amárico
an,Aragonés
ar,Arábica
as,Assamese
av,Avarico
ay,Aymara
az,Azerbaiyano
ba,Bashkir
be,Bielorruso
bg,Búlgaro
bh,Idiomas bihari
bi,Bislama
bm,Bambara
bn,Bengalí
bo,Tibetano
br,Bretón
bs,Bosnio
ca,"Catalán, valenciano"
ce,Checheno
ch,Chamorro
co,Corso
cr,Cree
cs,Checo
cu,"Eslavo eclesiástico, eslavo antiguo, eslavo eclesiástico, búlgaro antiguo, eslavo eclesiástico antiguo"
cv,Chuvasio
cy,Galés
da,Danés
de,Alemán
dv,"Divehi, Dhivehi, Maldivas"
dz,Dzongkha
ee,Ewe
el,Griego moderno
en,Inglés
eo,Esperanto
es,"Español, castellano"
et,Estonio
eu,Vasco
fa,Persa
ff,Fulá
fi,Finlandés
fj,Fiyiano
fo,Feroés
fr,Francés
fy,Frisia occidental
ga,Irlandesa
gd,"Gaélico, gaélico escocés"
gl,Gallego
gn,Guaraní
gu,Gujarati
gv,De la isla de Man
ha,Hausa
he,Hebreo
hi,Hindi
ho,Hiri Motu
hr,Croata
ht,"Haitiano, criollo haitiano"
hu,Húngaro
hy,Armenio
hz,Herero
ia,Interlingua
id,indonesio
ie,"Interlingue, Occidental"
ig,Igbo
ii,"Sichuan Yi, Nuosu"
ik,Inupiaq
io,Ido
is,Islandés
it,Italiano
iu,Inuktitut
ja,Japonés
jv,Javanés
ka,Georgiano
kg,Congo
ki,"Kikuyu, Gikuyu"
kj,"Kuanyama, Kwanyama"
kk,Kazajo
kl,"Kalaallisut, groenlandés"
km,Jemeres centrales
kn,Canarés
ko,Coreano
kr,Kanuri
ks,Cachemira
ku,Kurdo
kv,Komi
kw,Córnico
ky,"Kirguistán, Kirguistán"
la,Latín
lb,"Luxemburgués, letzeburgesch"
lg,Ganda
li,"Limburgués, Limburgés, Limburgués"
ln,Lingala
lo,Laosiano
lt,Lituano
lu,Luba-Katanga
lv,Letón
mg,Madagascarí
mh,Marshalés
mi,Maorí
mk,Macedónio
ml,Malayalam
mn,Mongol
mr,Marathi
ms,Malayo
mt,Maltés
my,Birmano
na,Nauru
nb,Bokmål noruego
nd,Ndebele del norte
ne,Nepalí
ng,Ndonga
nl,"Holandés, flamenco"
nn,Nynorsk noruego
no,Noruego
nr,Ndebele del sur
nv,"Navajo, Navajo"
ny,"Chichewa, Chewa, Nyanja"
oc,Occitano
oj,Ojibwa
om,Oromo
or,Oriya
os,"Osetio, osético"
pa,"Panjabí, Punjabí"
pi,Pali
pl,Polaco
ps,"Pastún, pastún"
pt,Portugués
qu,Quechua
rm,Romanche
rn,Rundi
ro,"Rumano, moldavo, moldavo"
ru,Ruso
rw,Kinyarwanda
sa,Sanskrit
sc,Sardo
sd,Sindhi
se,Sami del norte
sg,Sango
si,"Cingalés, cingalés"
sk,Eslovaco
sl,Esloveno
sm,Samoano
sn,Shona
so,Somalí
sq,Albanés
sr,Serbio
ss,Swati
st,Sotho del sur
su,Sundanés
sv,Sueco
sw,Swahili
ta,Tamil
te,Telugu
tg,Tayiko
th,Tailandés
ti,Tigrinya
tk,Turcomano
tl,Tagalo
tn,Tswana
to,Tonga
tr,Turco
ts,Tsonga
tt,Tártaro
tw,Twi
ty,Tahitiano
ug,"Uigur, uigur"
uk,Ucraniano
ur,Urdu
uz,Uzbeko
ve,Venta
vi,Vietnamita
vo,Volapük
wa,Valón
wo,Wólof
xh,Xhosa
yi,Yídish
yo,Yoruba
za,"Zhuang, Chuang"
zh,Chino
zu,Zulú
