Código,Título
AMNINJ,"Inyección, líquido amniótico"
BILINJ,"Inyección, tracto biliar"
CHOLINJ,"Inyección, para colangiografía"
DRESS,"Aplicación tópica, apósito empapado"
ELECTOSMOS,Electro-ósmosis
IONTO,"Aplicación tópica, iontoforesis"
SOAK,Inmersión (remojo)
SWAB,"Aplicación tópica, hisopo"
TOPICAL,Tópico
BUC,"Aplicación tópica, bucal"
CECINSTL,"Instilación, cecostomía"
CERV,"Aplicación tópica, cervical"
CERVINJ,"Inyección, cervical"
CERVINS,"Inserción, cervical (uterina)"
DEN,"Aplicación tópica, dental"
DENRINSE,"Enjuague, dental"
CHEW,"Masticar, oral"
EXTCORPDIF,"Difusión, extracorpórea"
HEMODIFF,"Difusión, hemodiálisis"
TRNSDERMD,"Difusión, transdérmica"
DISSOLVE,"Disolución, vía oral"
SL,"Disolución, sublingual"
DOUCHE,"Ducha, vaginal"
ENEMA,"Enema, rectal"
RETENEMA,"Enema, retención rectal"
EFT,"Instilación, sonda de alimentación enteral"
ENTINSTL,"Instilación, enteral"
EPI,"Infusión, epidural"
EPIDURINJ,"Inyección, epidural"
EPIINJ,"Inyección, epidural, empuje"
EPINJSP,"Inyección, epidural, empuje lento"
EXTRAMNINJ,"Inyección, extra-amniótica"
EXTCORPINJ,"Inyección, extracorpórea"
IVFLUSH,"Lavado, catéter intravenoso"
GBINJ,"Inyección, botón gástrico"
GT,"Instilación, sonda de gastrostomía"
NGT,"Instilación, sonda nasogástrica"
OGT,"Instilación, sonda orogástrica"
GUIRR,"Irrigación, genitourinario"
GIN,"Aplicación tópica, gingival"
GINGINJ,"Inyección, gingival"
HAIR,"Aplicación tópica, cabello"
SHAMPOO,Champú
IDIMPLNT,"Implantación, intradérmica"
IVITIMPLNT,"Implantación, intravítrea"
SQIMPLNT,"Implantación, subcutánea"
IA,"Infusión, catéter intraarterial"
IC,"Infusión, intracardíaca"
ICOR,"Infusión, intracoronaria"
IOSSC,"Infusión, intraósea, continua"
IT,"Infusión, intratecal"
IV,"Infusión, intravenosa"
IVASCINFUS,"Infusión, intravascular"
SQINFUS,"Infusión, subcutánea"
IPINHL,"Inhalación, respiratoria"
IPPB,"Inhalación, respiración con presión positiva intermitente (ippb)"
NASINHL,"Inhalación, nasal"
NEB,"Inhalación, nebulización"
TRACH,"Inhalación, traqueotomía"
VENT,"Inhalación, respirador"
VENTMASK,"Inhalación, ventimascarilla"
BLADINJ,"Inyección, vejiga urinaria"
ENDOSININJ,"Inyección, endosinusal"
HEMOPORT,"Inyección, puerto de hemodiálisis"
IABDINJ,"Inyección, intra-abdominal"
IAINJ,"Inyección, intraarterial"
IARTINJ,"Inyección, intraarticular"
IBURSINJ,"Inyección, intrabursal"
ICARDINJ,"Inyección, intracardíaca"
ICARTINJ,"Inyección, intracartilaginosa"
ICAUDINJ,"Inyección, intracaudal"
ICAVINJ,Inyección intracavernosa
ICAVITINJ,"Inyección, intracavitaria"
ICEREBINJ,"Inyección, intracerebral"
ICISTERNINJ,"Inyección, intracisternal"
ICORONINJ,"Inyección, intracoronaria"
ICORPCAVINJ,"Inyección, intracorpus cavernosum"
IDINJ,"Inyección, intradérmica"
IDISCINJ,"Inyección, intradiscal"
IDUCTINJ,"Inyección, intraductal"
IDURINJ,"Inyección, intradural"
IEPIDINJ,"Inyección, intraepidérmica"
IEPITHINJ,"Inyección, intraepitelial"
ILESINJ,"Inyección, intralesional"
ILUMINJ,"Inyección, intraluminal"
ILYMPJINJ,"Inyección, intralinfática"
IM,"Inyección, intramuscular"
IMEDULINJ,"Inyección, intramedular"
INTERMENINJ,"Inyección, interameníngea"
INTERSTITINJ,"Inyección, intersticial"
IOINJ,"Inyección, intraocular"
IOSSINJ,"Inyección, intraósea"
IOVARINJ,"Inyección, intraovárica"
IPCARDINJ,"Inyección, intrapericárdica"
IPERINJ,"Inyección, intraperitoneal"
IPINJ,"Inyección, intrapulmonar"
IPLRINJ,"Inyección, intrapleural"
IPROSTINJ,"Inyección, intraprostática"
