Código,Título,Descripción
amp,Ampolla,Envase sellado por fusión y para ser abierto exclusivamente por rotura. El contenido está destinado a ser utilizado en una sola ocasión.
bag,Bolsa,"Recipiente o envase formado por superficies, con fondo plano o no, de material flexible, generalmente cerradas en el fondo y en los laterales mediante precinto; en la parte superior puede cerrarse por fusión del material, según el uso previsto. Equipado con aditamentos especiales. Contiene la preparación final en un compartimento o los componentes necesarios para su preparación en diferentes compartimentos."
blstrpk,Envase Blíster,"Envase (generalmente multidosis) formado por dos capas, una de las cuales tiene forma para contener las dosis individuales. Se excluyen las tiras."
bot,Botella,Recipiente o envase con un cuello más o menos pronunciado y normalmente con un fondo plano.
box,Caja,"Recipiente o envase primario compuesto por una o varias partes de un material ligero, que puede cerrarse."
can,Lata,
cart,Recambio,"Recipiente o envase lleno, generalmente cilíndrico, que contiene una preparación parenteral estéril, monodosis o multidosis; contiene la preparación final en un compartimento, o los componentes necesarios para su preparación en diferentes compartimentos. Puede suministrarse como parte integrante de una pluma precargada o estar destinado a ser utilizado en un dispositivo reutilizable especialmente diseñado para ese fin, como una pluma inyectora."
disk,Disco,
doset,Caja de dosis o clasificador de píldoras,
jar,Tarro,"Recipiente, sin cuello pronunciado, con una amplia apertura en la parte superior y un fondo más o menos plano. Es adecuado para formas farmacéuticas semisólidas y sólidas (incluidas las que se almacenan/suministran en un medio líquido, como los equivalentes de tejidos vivos). Se puede volver a cerrar."
jug,Jarra,
minim,Mínimo,
nebamp,Nebulizador,
ovul,Óvulo,
pch,Bolsa de medicinas,"Elemento de envase destinado a ser utilizado como contenedor intermedio o exterior, destinado a contener uno o más medicamentos; está hecho de un material flexible y puede ser de un solo uso o reutilizable, y puede estar provisto de un sistema de cierre. Se excluyen las bolsas y los sobres."
pkt,Paquete,
sash,Sashet,Envase formado por dos superficies de material flexible que se cierra únicamente mediante precinto o plegado. El contenido está destinado a un solo uso.
strip,Envase tira,"Envase multidosis formado por dos capas, generalmente provisto de perforaciones, adecuado para contener dosis individuales de preparados sólidos o semisólidos. Se excluyen los blísteres."
tin,Envase de hojalata,
tub,Bañera,
tube,Tubo,"Envase para formas farmacéuticas semisólidas, generalmente multidosis, compuesto por material plegable destinado a liberar el contenido a través de una boquilla al apretar el envase."
vial,Frasco,"Pequeño envase para medicamentos parenterales, con tapón y sobretapa; el contenido se extrae tras perforar el tapón. Se incluyen usos de monodosis y multidosis."
